Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-26,169.320007,170.169998,169.050003,169.690002,141.433441,77146900,0
2013-09-27,168.839996,169.139999,168.470001,168.910004,140.783371,99141800,1
2013-09-30,167.479996,168.539993,167.149994,168.009995,140.033157,143937000,2
2013-10-01,168.139999,169.5,167.970001,169.339996,141.141708,127160000,3
2013-10-02,168.350006,169.339996,167.830002,169.179993,141.008392,113350000,4
2013-10-03,168.789993,168.940002,166.839996,167.619995,139.708145,176698000,5
2013-10-04,167.75,169.059998,167.529999,168.889999,140.766678,96878000,6
2013-10-07,167.419998,168.449997,167.25,167.429993,139.549728,96295000,7
2013-10-08,167.399994,167.619995,165.360001,165.479996,137.924469,178015000,8
2013-10-09,165.800003,166.199997,164.529999,165.600006,138.024551,168973000,9
2013-10-10,167.289993,169.259995,167.229996,169.169998,141.000015,195955000,10
2013-10-11,168.910004,170.320007,168.770004,170.259995,141.908585,105040000,11
2013-10-14,169.210007,171.080002,169.080002,170.940002,142.475281,112106000,12
2013-10-15,170.509995,171.149994,169.470001,169.699997,141.441772,155485000,13
2013-10-16,170.720001,172.160004,170.639999,172.070007,143.417114,161676000,14
2013-10-17,171.369995,173.320007,171.339996,173.220001,144.375595,129389000,15
2013-10-18,173.860001,174.509995,173.509995,174.389999,145.3508,138316000,16
2013-10-21,174.449997,174.75,174.009995,174.399994,145.359116,104104000,17
2013-10-22,174.910004,175.929993,174.429993,175.410004,146.200974,126663000,18
2013-10-23,174.809998,174.889999,173.960007,174.570007,145.500839,105484000,19
2013-10-24,174.919998,175.369995,174.509995,175.149994,145.984238,70350000,20
2013-10-25,175.509995,176,175.169998,175.949997,146.651077,93625000,21
2013-10-28,175.889999,176.470001,175.699997,176.229996,146.884354,84979000,22
2013-10-29,176.630005,177.240005,176.380005,177.169998,147.667892,87401000,23
2013-10-30,177.380005,177.509995,175.660004,176.289993,146.934402,140002000,24
2013-10-31,176.149994,176.889999,175.529999,175.789993,146.517685,133795000,25
2013-11-01,176.020004,176.610001,175.220001,176.210007,146.867706,142805000,26
2013-11-04,176.690002,176.899994,175.979996,176.830002,147.38446,85677000,27
2013-11-05,176.139999,176.75,175.570007,176.270004,146.91774,85825000,28
2013-11-06,177.029999,177.5,176.539993,177.169998,147.667892,87348000,29
2013-11-07,177.5,177.639999,174.759995,174.929993,145.800888,157000000,30
2013-11-08,174.869995,177.309998,174.850006,177.289993,147.767899,136713000,31
2013-11-11,177.119995,177.529999,176.910004,177.320007,147.792938,62614000,32
2013-11-12,176.940002,177.360001,176.369995,176.960007,147.492844,83990000,33
2013-11-13,176.089996,178.429993,176.089996,178.380005,148.676361,103844000,34
2013-11-14,178.539993,179.419998,178.25,179.270004,149.418182,103435000,35
2013-11-15,179.559998,180.119995,179.330002,180.050003,150.068298,102818000,36
2013-11-18,180.350006,180.5,179.020004,179.419998,149.543213,104796000,37
2013-11-19,179.330002,179.869995,178.720001,179.029999,149.21814,93891000,38
2013-11-20,179.389999,179.929993,177.979996,178.470001,148.751419,124909000,39
2013-11-21,178.970001,180.050003,178.860001,179.910004,149.951645,92841000,40
2013-11-22,179.979996,180.830002,179.770004,180.809998,150.701782,81296000,41
2013-11-25,181.130005,181.169998,180.369995,180.630005,150.551743,79486000,42
2013-11-26,180.720001,181.220001,180.410004,180.679993,150.593369,86994000,43
