Date,Day of the week,App (Use all CAPITALS),Minutes,Category
8/28,Monday,YOUTUBE,62,Entertainment
8/28,Monday,INSTAGRAM,75,Social Media
8/28,Monday,TIKTOK,180,Social Media
8/29,Tuesday,TIKTOK,65,Social Media
8/29,Tuesday,INSTAGRAM,180,Social Media
8/30,Wednesday,YOUTUBE,68,Entertainment
8/30,Wednesday,INSTAGRAM,45,Social Media
8/31,Thursday,TIKTOK,154,Social Media
8/31,Thursday,X,11,Social Media
8/31,Thursday,SAFARI,22,Education
9/1,Friday,YOUTUBE,65,Entertainment
9/1,Friday,ROKU,25,Entertainment
9/1,Friday,INSTAGRAM,46,Social Media
9/2,Saturday,SPOTIFY,20,Entertainment
9/2,Saturday,MESSAGES,8,Other
9/2,Saturday,SAFARI,14,Entertainment
9/3,Sunday,INSTAGRAM,103,Social Media
9/3,Sunday,QUIZLET,10,Education
9/3,Sunday,MESSAGES,5,Social Media
9/4,Monday,INSTAGRAM,105,Social Media
9/4,Monday,MAPS,47,Travel
9/4,Monday,SPOTIFY,48,Entertainment
